Vivado Simulator 2018.3
Time resolution is 1 ps
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_FSM/FSM_sequential_state_reg[0]/TChk168_133240 at time 140233 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_FSM/FSM_sequential_state_reg[1]/TChk170_133242 at time 140233 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_0/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_0/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_1/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_1/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_10/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_10/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_11/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_11/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
WARNING: "C:\Xilinx\Vivado\2018.3\data/verilog/src/unisims/RAMB18E1.v" Line 992: Timing violation in scope /TB_Top_Level/PL_CLASSIFIER_w_VOTING_inst/PM_RAM_Pre_Computed_Vector/inst_RAM_Pre_Computed_Vector/ram_name_reg_2/TChk992_138734 at time 440 ns $setuphold (posedge CLKARDCLK,negedge WEA,(0:0:0),(0:0:0),notifier_a,enarden_clka_p,enarden_clka_p,CLKARDCLK_delay,WEA_delay) 
